Fecha;Representante;CódigoProducto;Unidades
1/01/2014;Valeria Tapia Castro;B00F3J4B5S;4
2/01/2014;Gabriela Rojas Huerta;B018IZ0SWI;2
2/01/2014;Carla Fernández Mendoza;B01DZJFWNC;1
2/01/2014;Luisa García López;B01DZJFWNC;2
2/01/2014;Juan Carlos Rodríguez Huamán;B016381QZA;4
3/01/2014;Ricardo Gómez Vargas;B00J0O5J4Y;2
3/01/2014;Diego Morales Castro;B01KBH547A;3
4/01/2014;Silvia Ramírez Rivera;B00K15Q2B0;15
4/01/2014;Laura Flores Guzmán;B00NQGP42Y;2
4/01/2014;Eduardo Cáceres Salazar;B00NQGP42Y;2
4/01/2014;Andrés Ramos Silva;B01LQV1YHO;2
4/01/2014;Carlos González Medina;B01KBH547A;2
4/01/2014;Julio Vargas López;B00F3J4B5S;6
5/01/2014;Miguel Ángel Vega Torres;B00J0O5J4Y;4
5/01/2014;Ana María Castro Chávez;B01KBH547A;3
5/01/2014;Sofía Castro Valdez;B00NQGP42Y;2
5/01/2014;Ricardo Gómez Vargas;B01KBH547A;1
5/01/2014;Silvia Ramírez Rivera;B018IZ0SWI;19
5/01/2014;Valentina Torres Vega;B00NQGP42Y;3
5/01/2014;Diego Morales Castro;B00J0O5J4Y;2
5/01/2014;Luisa García López;B018IZ0SWI;1
5/01/2014;Gabriela Rojas Huerta;B018IZ0SWI;2
5/01/2014;Juan Carlos Rodríguez Huamán;B01EYT1URO;3
6/01/2014;Carla Fernández Mendoza;B01EYT1URO;2
6/01/2014;Eduardo Cáceres Salazar;B018IZ0SWI;1
7/01/2014;Laura Flores Guzmán;B00NQGP42Y;2
7/01/2014;Carlos González Medina;B01LQV1YHO;1
7/01/2014;Andrés Ramos Silva;B00NQGP42Y;2
7/01/2014;Miguel Ángel Vega Torres;B01EYT1URO;2
7/01/2014;Julio Vargas López;B00K15Q2B0;1
7/01/2014;Silvia Ramírez Rivera;B01DZJFWNC;3
7/01/2014;Diego Morales Castro;B016381QZA;1
8/01/2014;Sofía Castro Valdez;B018IZ0SWI;3
8/01/2014;Ricardo Gómez Vargas;B018IZ0SWI;2
8/01/2014;Valentina Torres Vega;B00F3J4B5S;3
8/01/2014;Luisa García López;B01KBH547A;21
9/01/2014;Juan Carlos Rodríguez Huamán;B00NQGP42Y;3
9/01/2014;Ana María Castro Chávez;B00F3J4B5S;2
9/01/2014;Gabriela Rojas Huerta;B00F3J4B5S;3
9/01/2014;Carla Fernández Mendoza;B01DZJFWNC;2
10/01/2014;Eduardo Cáceres Salazar;B00J0O5J4Y;1
10/01/2014;Miguel Ángel Vega Torres;B00J0O5J4Y;2
10/01/2014;Laura Flores Guzmán;B016B7INC2;3
10/01/2014;Silvia Ramírez Rivera;B018IZ0SWI;1
11/01/2014;Julio Vargas López;B01KBH547A;1
11/01/2014;Diego Morales Castro;B016B7INC2;19
11/01/2014;Carlos González Medina;B01DZJFWNC;2
11/01/2014;Andrés Ramos Silva;B01KBH547A;1
11/01/2014;Ricardo Gómez Vargas;B00F3J4B5S;2
11/01/2014;Sofía Castro Valdez;B016381QZA;2
11/01/2014;Valentina Torres Vega;B016B7INC2;2
11/01/2014;Luisa García López;B016B7INC2;3
11/01/2014;Gabriela Rojas Huerta;B00J0O5J4Y;1
12/01/2014;Juan Carlos Rodríguez Huamán;B01EYT1URO;2
12/01/2014;Ana María Castro Chávez;B00K15Q2B0;1
12/01/2014;Carla Fernández Mendoza;B01LQV1YHO;1
12/01/2014;Eduardo Cáceres Salazar;B00NQGP42Y;3
12/01/2014;Miguel Ángel Vega Torres;B015YCRYZM;1
12/01/2014;Laura Flores Guzmán;B018IZ0SWI;2
13/01/2014;Silvia Ramírez Rivera;B01KBH547A;2
13/01/2014;Julio Vargas López;B00NQGP42Y;4
13/01/2014;Diego Morales Castro;B00F3J4B5S;3
13/01/2014;Carlos González Medina;B01DZJFWNC;2
14/01/2014;Andrés Ramos Silva;B01KBH547A;4
14/01/2014;Ricardo Gómez Vargas;B01LQV1YHO;2
14/01/2014;Valentina Torres Vega;B01KBH547A;15
14/01/2014;Luisa García López;B01KBH547A;2
14/01/2014;Sofía Castro Valdez;B00K15Q2B0;1
15/01/2014;Juan Carlos Rodríguez Huamán;B018IZ0SWI;2
15/01/2014;Gabriela Rojas Huerta;B01DZJFWNC;3
15/01/2014;Carla Fernández Mendoza;B018IZ0SWI;1
15/01/2014;Ana María Castro Chávez;B00NQGP42Y;3
15/01/2014;Eduardo Cáceres Salazar;B01LQV1YHO;1
15/01/2014;Miguel Ángel Vega Torres;B01KBH547A;2
16/01/2014;Laura Flores Guzmán;B00NQGP42Y;2
16/01/2014;Diego Morales Castro;B01EYT1URO;2
16/01/2014;Silvia Ramírez Rivera;B00K15Q2B0;3
16/01/2014;Ricardo Gómez Vargas;B018IZ0SWI;2
17/01/2014;Julio Vargas López;B01DZJFWNC;2
17/01/2014;Andrés Ramos Silva;B00NQGP42Y;3
17/01/2014;Carlos González Medina;B00F3J4B5S;2
17/01/2014;Valentina Torres Vega;B016B7INC2;1
17/01/2014;Luisa García López;B00F3J4B5S;1
17/01/2014;Gabriela Rojas Huerta;B00K15Q2B0;1
17/01/2014;Juan Carlos Rodríguez Huamán;B018IZ0SWI;2
17/01/2014;Carla Fernández Mendoza;B015YCRYZM;3
18/01/2014;Luisa García López;B01LQV1YHO;3
18/01/2014;Juan Carlos Rodríguez Huamán;B01DZJFWNC;2
18/01/2014;Ana María Castro Chávez;B01KBH547A;3
18/01/2014;Miguel Ángel Vega Torres;B018IZ0SWI;3
19/01/2014;Carla Fernández Mendoza;B016381QZA;3
19/01/2014;Ricardo Gómez Vargas;B00K15Q2B0;3
20/01/2014;Silvia Ramírez Rivera;B00F3J4B5S;1
20/01/2014;Diego Morales Castro;B00NQGP42Y;3
20/01/2014;Gabriela Rojas Huerta;B016381QZA;21
20/01/2014;Eduardo Cáceres Salazar;B018IZ0SWI;2
20/01/2014;Verónica Quispe Rodríguez;B018IZ0SWI;3
20/01/2014;Carlos González Medina;B01LQV1YHO;12
21/01/2014;Laura Flores Guzmán;B018IZ0SWI;3
21/01/2014;Julio Vargas López;B00K15Q2B0;2
21/01/2014;Valentina Torres Vega;B00K15Q2B0;2
21/01/2014;Andrés Ramos Silva;B018IZ0SWI;3
21/01/2014;Mariana Ruiz Cruz;B00F3J4B5S;1
21/01/2014;Luis Torres Medina;B00F3J4B5S;3
21/01/2014;Ana Paula Sánchez Vargas;B00K15Q2B0;2
21/01/2014;Rafaela Cáceres Castro;B01DZJFWNC;1
22/01/2014;Alejandro Ortega Salinas;B00F3J4B5S;22
22/01/2014;Camila Paredes Delgado;B01DZJFWNC;2
22/01/2014;Víctor García Soto;B01KBH547A;1
22/01/2014;Sofía Castro Valdez;B016381QZA;19
22/01/2014;Adrián Vega Ruiz;B00NQGP42Y;1
22/01/2014;Lucía Pérez Guerra;B018IZ0SWI;2
23/01/2014;Sebastián Salazar Peña;B00NQGP42Y;2
23/01/2014;Carolina Espinoza Ramírez;B01DZJFWNC;2
23/01/2014;Manuel Rojas Cárdenas;B01LQV1YHO;23
23/01/2014;Gabriela Navarro Gómez;B00F3J4B5S;3
23/01/2014;Andrés Soto Paredes;B00J0O5J4Y;2
24/01/2014;Valeria Tapia Castro;B016381QZA;2
24/01/2014;Eduardo Morales Sánchez;B01EYT1URO;11
